bo_refine _0_-3.0_0.65F
9.999967159705611675e-01 1.511294274889639962e-04
9.927963293709732850e-01 5.255120193934429123e-04
9.855914692231703134e-01 9.118305414499152609e-04
9.783819821471047007e-01 1.309356249434567637e-03
9.711678480198521202e-01 1.717350152133099170e-03
9.639490545860029957e-01 2.135069380938436467e-03
9.567254360709094296e-01 2.561776783718060918e-03
9.494970780613514183e-01 2.996717181160913398e-03
9.422638161106756671e-01 3.439146944238474432e-03
9.350256557847079764e-01 3.888308928541865835e-03
9.277825689468119919e-01 4.343444590012331651e-03
9.205343934785246152e-01 4.803800532490945865e-03
9.132812094897326816e-01 5.268604658818658998e-03
9.060228675752394212e-01 5.737096081219950593e-03
8.987593450189066413e-01 6.208502423332538586e-03
8.914906497058214807e-01 6.682045844012505890e-03
8.842165722944310691e-01 7.156959227546601417e-03
8.769400186198520464e-01 7.632268599637941076e-03
8.696681496772455944e-01 8.106720671674009365e-03
8.624016072041869041e-01 8.579490752455754335e-03
8.551401046260472816e-01 9.049826987206304948e-03
8.478836330674658361e-01 9.516981560438793342e-03
8.406320634702924011e-01 9.980219977801652390e-03
8.333853288556327676e-01 1.043880681766252115e-02
8.261434728467291766e-01 1.089200285362893102e-02
8.189063140402634833e-01 1.133908608510176413e-02
8.116739004889164111e-01 1.177932330028546963e-02
8.044461280549821680e-01 1.221199378497486721e-02
7.972229167444472298e-01 1.263637826986237916e-02
7.900043145695547775e-01 1.305175310438820915e-02
7.827901367116825160e-01 1.345741112592285273e-02
7.755804465413982385e-01 1.385263402899147844e-02
7.683751150113857786e-01 1.423671729402356360e-02
7.611740975905717521e-01 1.460895460386058865e-02
7.539773971009821052e-01 1.496864031948289681e-02
7.467848491722388626e-01 1.531508004406388623e-02
7.395965556810318864e-01 1.564756940084976317e-02
7.324123137525231364e-01 1.596542131762765035e-02
7.252272024577498533e-01 1.626823722380835516e-02
7.180082603164886779e-01 1.655962104746803651e-02
7.107477452136682361e-01 1.684555221011098738e-02
7.034751452818689410e-01 1.713091296255948512e-02
6.962419418179879305e-01 1.741977099751087707e-02
6.890508156442185506e-01 1.771793042870427326e-02
6.819010230606613598e-01 1.803113100868845853e-02
6.747922711142847474e-01 1.836490368251641331e-02
6.677245242315785756e-01 1.872458234108780734e-02
6.606962407573011564e-01 1.911540708973356872e-02
6.536704683225151857e-01 1.954278374305005311e-02
6.466150618064741007e-01 2.000567387177447365e-02
6.395284889860344268e-01 2.049985145162338748e-02
6.324105745016578295e-01 2.102087742230474010e-02
6.252597722751995768e-01 2.156428353190819810e-02
6.180762231807548357e-01 2.212534228801080541e-02
6.108581394373767681e-01 2.269933690664333037e-02
6.036059712215160467e-01 2.328123147543600599e-02
5.963532023308286689e-01 2.386319905562287597e-02
5.891273078889721626e-01 2.443811073170831794e-02
5.819050175083797516e-01 2.500569092517980138e-02
5.746841424259625519e-01 2.556579575855182085e-02
5.674646461836190259e-01 2.611814259169534594e-02
5.602465345223766047e-01 2.666244594528101308e-02
5.530298304403838960e-01 2.719841956813522782e-02
5.458144905396865587e-01 2.772578260610078157e-02
5.386005670505579213e-01 2.824424765547365462e-02
5.313880163162971737e-01 2.875353475658742886e-02
5.241768528437328323e-01 2.925336020627644640e-02
5.169670893698166125e-01 2.974344096793522796e-02
5.097586872136163905e-01 3.022349793584060487e-02
5.025517063550073438e-01 3.069324589640267179e-02
4.953460882451928837e-01 3.115240791951979019e-02
4.881418636246848686e-01 3.160070170963523439e-02
4.809390272739444971e-01 3.203784778011867923e-02
4.737375570725523843e-01 3.246356806660518485e-02
4.665374999000838074e-01 3.287758091731034921e-02
4.593387974900685622e-01 3.327961124041451529e-02
4.521411534099866181e-01 3.366941085123008326e-02
4.449440320871546617e-01 3.404682524572675423e-02
4.377474189459449883e-01 3.441170063948475327e-02
4.305513244048640997e-01 3.476388213145865241e-02
4.233557244856761548e-01 3.510321662899964362e-02
4.161606535540736673e-01 3.542954841596795273e-02
