INFO:root:perf: 31.09754919482048, thickness: 0.06503419578075409
INFO:root:perf: 32.48872678738876, thickness: 0.06588055193424225
INFO:root:perf: 33.591706797507086, thickness: 0.06840924173593521
INFO:root:perf: 34.676552866269304, thickness: 0.07206857204437256
INFO:root:perf: 35.81357808684541, thickness: 0.0581248439848423
INFO:root:perf: 34.8943585938707, thickness: 0.06492133438587189
INFO:root:perf: 34.76845095352295, thickness: 0.06492133438587189
INFO:root:perf: 34.923240596545654, thickness: 0.0715036690235138
INFO:root:perf: 35.034311379426754, thickness: 0.0676686242222786
INFO:root:perf: 35.29568121667942, thickness: 0.06289440393447876
INFO:root:perf: 35.84869497274051, thickness: 0.06271521002054214
INFO:root:perf: 36.85331979291854, thickness: 0.0656624287366867
INFO:root:perf: 36.93270664094305, thickness: 0.06269390136003494
INFO:root:perf: 37.63900880934652, thickness: 0.06176329404115677
